Class,Crew,Country,Seat,Span,OarLength,OarInboard,OarOutboard
W2x,5CB2C70218EA3819CA83A802C6E6C609,NGR,1,,,,
W2x,5CB2C70218EA3819CA83A802C6E6C609,NGR,2,,,,
LM2x,50FA2216A6D375BFA152175E00B60C42,FRA,1,159,289,88,201
LM2x,50FA2216A6D375BFA152175E00B60C42,FRA,2,159,289,88,201
LM2x,D92CC875BDA27C221D5439BAB60464A6,ITA,1,160,287.5,89,198.5
LM2x,D92CC875BDA27C221D5439BAB60464A6,ITA,2,160,287.5,89,198.5
LM2x,72A9B4707AD6AA11425B531D0EA27348,CHN,1,159,288,88,200
LM2x,72A9B4707AD6AA11425B531D0EA27348,CHN,2,159,288,88,200
LM2x,B05DEDD779B6F6092762DAA12007154F,POL,1,159.5,287,88.5,198.5
LM2x,B05DEDD779B6F6092762DAA12007154F,POL,2,159.5,287,88.5,198.5
LM2x,32B71855E84B3CC4CC326E4A2A750D2E,BEL,1,159.2,288.5,88.5,200
LM2x,32B71855E84B3CC4CC326E4A2A750D2E,BEL,2,159,288.5,88.5,200
LM2x,BFF3814D873B8E5A573109C74BC50074,GER,1,160,287.5,88,199.5
LM2x,BFF3814D873B8E5A573109C74BC50074,GER,2,160,287.5,88,199.5
LM2x,035227BE267F285E107EC49731082562,CZE,1,157.5,289,88,201
LM2x,035227BE267F285E107EC49731082562,CZE,2,159,287,87,200
LM2x,DA64189B944289029E056B410A3FF925,DEN,1,159.5,286.5,87,199.5
LM2x,DA64189B944289029E056B410A3FF925,DEN,2,159.5,286.5,87,199.5
LM2x,758D1F4FF45F770FDF553E3E0E6855E3,UKR,1,158,289,88.5,200.5
LM2x,758D1F4FF45F770FDF553E3E0E6855E3,UKR,2,158.5,288,88.5,199.5
LM2x,D6889D063C2F12061B7D925B16CB5473,GBR,1,159,288.5,88,200.5
LM2x,D6889D063C2F12061B7D925B16CB5473,GBR,2,159,288.5,88,200.5
LM2x,86830F3D3E92863F41599BFF4820A510,ESP,1,159,288,88,200
LM2x,86830F3D3E92863F41599BFF4820A510,ESP,2,159,288,88,200
LM2x,DA8F08E8C03C5D42F4B381B775357E7C,RSA,1,160,287,88,199
LM2x,DA8F08E8C03C5D42F4B381B775357E7C,RSA,2,160,287,88,199
LM2x,545576E4E5661278484ADF10C4623422,CAN,1,159.5,288,88,200
LM2x,545576E4E5661278484ADF10C4623422,CAN,2,159.5,288,88,200
LM2x,0451B4655923E64115BEA4E95161B25D,ARG,1,159.5,288,88,200
LM2x,0451B4655923E64115BEA4E95161B25D,ARG,2,159.5,288,88,200
