Olympic,Class,Finish,Country,BoatManufacturer,BoatModel,Rigger,Mount,Backstay,Seat,Span,Spread,OarManufacturer,OarModel,OarShaft,OarLength,OarInboard,OarOutboard,BladeShape,BladeLength,BladeWidth,VortexEdge,WorkTrough,WorkHeels,WorkToes,StretcherAngle,SwivelAboveSeatStarboard,SwivelAboveSeatPortside,SwivelAboveSeatSweep,SeatAboveHeels,PitchStarboard,PitchPortside,PitchSweep,MeasurementDate
O,W2-,10,CHN,Empacher,C34,"Carbon Wing",Stern,Yes,2,,86,C2,Skinny,,373.5,116.5,257,SM2P,54.5,25.5,No,18,37,,43.3,,,16.5,20,,,3.9,"*+3 deg on blade"
O,W2-,11,MEX,Filippi,F13,"Alum wing",Stern,Yes,1,,86.3,C2,Standard,Med,371,117,254,"Big Blade",51.5,25.5,No,16.5,33,,44.1,,,16.5,17.5,,,7,""
O,W2-,11,MEX,Filippi,F13,"Alum wing",Stern,Yes,2,,86,C2,Standard,Med,371,117.3,253.7,"Big Blade",51.5,25.5,No,15,33,,45.6,,,16.5,17.5,,,6.3,""
O,M2-,1,ITA,Filippi,F17,"Carbon wing",Stern,Yes,1,,86.5,C2,,,375.5,117.5,258,SM2P,54.5,25.5,No,14,38.5,,41.4,,,19,20,,,4.1,""
O,M2-,1,ITA,Filippi,F17,"Carbon wing",Stern,Yes,2,,86,C2,,,375.5,117,258.5,SM2P,,,No,15,40.5,,41.8,,,16.5,17.5,,,3,""
O,M2-,2,CRO,Filippi,F17,"Carbon wing",Stern,Yes,1,,86,Croker,M47,,374.5,114.5,260,Smooth,55,25,No,21,33,,44.2,,,17,20,,,4,""
O,M2-,2,CRO,Filippi,F17,"Carbon wing",Stern,Yes,2,,86,Croker,M47,,374.5,114.5,260,Smooth,55,25,No,12.5,36.5,,42.4,,,17,16.5,,,3,""
O,M2-,3,NZL,Filippi,F17,"Alum wing",Stern,Yes,1,,86,C2,"low i",Med,375.5,116.2,259.3,SM2P,54.5,25.5,No,14,39,61,42.5,,,16.2,19.5,,,3,""
O,M2-,3,NZL,Filippi,F17,"Alum wing",Stern,Yes,2,,86,C2,"low i",Med,375.5,116.2,259.3,SM2P,54.5,25.5,No,16.5,37.5,58,42.5,,,15.9,18,,,3,""
O,M2-,4,FRA,Empacher,C32,"Carbon Wing",Stern,Yes,1,,86,C2,skinny,soft,376,116,260,SM2P,54.5,25.5,No,,,,42,,,17,,,,,""
O,M2-,4,FRA,Empacher,C32,"Carbon Wing",Stern,Yes,2,,86,C2,skinny,soft,376,116,260,SM2P,54.5,25.5,No,,,,42,,,17,,,,,""
"",M2-,5,GBR,Empacher,C32,"Carbon wing",Stern,Yes,1,,86,C2,Skinny,Med,377,116,261,SM2P,54.5,25.5,No,13.5,31,,43,,,19,19,,,4,""
"",M2-,5,GBR,Empacher,C32,"Carbon wing",Stern,Yes,2,,86,C2,Skinny,Med,377,116,261,SM2P,54.5,25.5,No,17,30,,43,,,19,19,,,4,""
"",M2-,6,SRB,Empacher,C32,"Carbon wing",Stern,Yes,1,,86.5,C2,Standard,Med,375.5,116,259.5,SM2P,54.5,25.5,No,13,32,,42,,,18.5,20.5,,,6.1,""
"",M2-,6,SRB,Empacher,C32,"Carbon wing",Stern,Yes,2,,86.3,C2,Standard,Med,375.5,116,259.5,SM2P,54.5,25.5,No,14,38,,43,,,16,20,,,4.5,""
"",M2-,7,ROU,Filippi,F17,"Carbon wing",Stern,Yes,1,,85.5,C2,Skinny,Med,375.5,115.5,260,SM2P,54.5,25.5,No,8.5,,62,42,,,17.5,18,,,4,""
"",M2-,7,ROU,Filippi,F17,"Carbon wing",Stern,Yes,2,,85.5,C2,Skinny,Med,375.5,115.5,260,SM2P,54.5,25.5,No,8.5,,78,42,,,17,17,,,4,""
"",M2-,8,CZE,Empacher,R32,"Carbon wing",Stern,Yes,1,,86,C2,Standard,Med,376,116,260,SM2P,54.5,25.5,No,12.5,35,,41.3,,,18.5,20.5,,,3.3,""
"",M2-,8,CZE,Empacher,R32,"Carbon wing",Stern,Yes,2,,86,C2,Standard,Med,376,116,260,SM2P,54.5,25.5,No,11.5,32.5,,39.8,,,17,18.5,,,4,""
"",M2-,9,ESP,Filippi,F17,"Carbon Wing",Stern,Yes,1,,86,C2,Skinny,Med,375,116,259,SM2P,54.5,25.5,No,21.5,37,,43.3,,,16.5,18,,,5.1,""
"",M2-,9,ESP,Filippi,F17,"Carbon Wing",Stern,Yes,2,,86.5,c2,Skinny,Med,375.5,116,259.5,SM2P,54.5,25.5,No,19.5,38,,42.7,,,17.5,20,,,5.5,""
"",M2-,10,BLR,Filippi,F17,"Carbon Wing",Stern,Yes,1,,86.5,C2,Skinny,Med,377,116,261,SM2P,54.5,25.5,No,15.5,40.5,,41,,,18,19,,,5.8,""
"",M2-,10,BLR,Filippi,F17,"Carbon Wing",Stern,Yes,2,,86,C2,Skinny,Med,377,116,261,SM2P,54.5,25.5,No,16.5,39.5,,41.7,,,19,19.5,,,6.1,""
"",M2-,11,USA,Empacher,C32,"Carbon wing",Stern,Yes,1,,85.8,C2,Skinny,Med,376.3,117.5,258.8,SM2P,54.5,25.5,No,16,33,,44.8,,,17.5,19.5,,,3.9,""
"",M2-,11,USA,Empacher,C32,"Carbon wing",Stern,Yes,2,,86.5,C2,Skinny,Med,376.5,117.4,259.1,SM2P,54.5,25.5,No,16,36,,44,,,18.5,19.5,,,4.8,""
"",M2-,12,TUR,Empacher,R32,"Alum wing",Stern,Yes,1,,86,C2,Standard,Med,375,116,259,SM2P,54.5,25.5,No,14.5,37,,42.5,,,16.5,21,,,4,""
"",M2-,12,TUR,Empacher,R32,"Alum wing",Stern,Yes,2,,86,C2,Standard,Med,375,116,259,SM2P,54.5,25.5,No,16,37.5,,43.2,,,15.5,19.5,,,4,""
"",M2-,13,NED,Empacher,C32,"Carbon wing",Stern,Yes,1,,86,C2,Standard,Med,376,116,260,SM2P,54.5,25.5,No,14.5,37,,42.5,,,16.5,21,,,4,""
"",M2-,13,NED,Empacher,C32,"Carbon wing",Stern,Yes,2,,86,C2,Standard,Med,376,116,260,SM2P,54.5,25.5,No,16,37.5,,43.2,,,15.5,19.5,,,4,""
"",M2-,14,RSA,Filippi,F17,"Carbon Wing",Stern,Yes,1,,86.5,C2,Skinny,Med,376,116.5,259.5,SM2P,54.5,25.5,No,8.5,32,,42,,,16,20,,,5,""
"",M2-,14,RSA,Filippi,F17,"Carbon Wing",Stern,Yes,2,,86.5,C2,Skinny,Med,376.5,116.5,260,SM2P,54.5,25.5,No,9.5,34.5,,43,,,16,18,,,6,""
"",M2-,15,ARG,Empacher,,,Stern,Yes,1,,86,C2,Standard,Med,375,116,259,SM2P,54.5,25.5,No,13,34,,42.6,,,16.5,18,,,6.2,""
"",M2-,15,ARG,Empacher,,,Stern,Yes,2,,86,C2,Standard,Med,375.5,116,259.5,SM2P,54.5,25.5,No,15,36,,41.4,,,16.5,19,,,7.2,""
O,M2-,16,IRL,Filippi,F17,"Alum wing",Stern,Yes,1,,85.5,Croker,"M47 Arrow",,375,116,259,Smooth,55,25,No,15,41,,42.6,,,17.5,20,,,3,""
O,M2-,16,IRL,Filippi,F17,"Alum wing",Stern,Yes,2,,86,Croker,"M47 Arrow",,375.5,116,259.5,Smooth,55,25,No,17,39,,42.5,,,20,18,,,2.5,""
"",M2-,17,DEN,Filippi,F51,"Carbon Wing",Stern,Yes,1,,86,C2,,Med,373.5,115,258.5,SM2P,54.5,25.5,No,19,44,,40,,,17.5,19.7,,,3.6,""
O,M2x,1,NZL,Filippi,F17,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,16,40.5,59.2,45,18.8,17.8,,19.6,4,4,0,""
O,M2x,1,NZL,Filippi,F17,"Carbon wing",Bow,No,2,159,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,17,40.3,59.4,45,19.2,18.2,,18.7,4,4,,""
O,M2x,2,POL,Filippi,,"Carbon wing",Bow,No,1,158.5,,C2,Skinny,Med,289,89.5,199.5,SM2P,46,21.5,No,15,38,,43,19,17.5,,16.5,7,6,,""
O,M2x,2,POL,Filippi,,"Carbon wing",Bow,No,2,158.5,,C2,Skinny,Med,289,89.5,199.5,SM2P,46,21.5,No,19,41,,41,21,18.5,,16.5,6,6,,""
O,M2x,3,ITA,Filippi,,"Carbon wing",Bow,No,1,159.5,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,7,39,,42,19.5,19,,19,7,6,,""
O,M2x,3,ITA,Filippi,,"Carbon wing",Bow,No,2,159.5,,C2,Skinny,Med,289,88.5,200.5,SM2P,46,21.5,No,12,40,,44,20.5,19.5,,18.5,5,5,,""
O,M2x,4,LTU,Filippi,F17,"Carbon Wing",Bow,No,1,159,,Croker,C39,Stiff,289,88,201,Smooth,46,21.5,No,,47,56.5,41,18.5,17.5,,18,3,3,,""
O,M2x,4,LTU,Filippi,F17,"Carbon Wing",Bow,No,2,159,,Croker,C39,Stiff,289,88,201,Smooth,46,21.5,No,,49,64.5,42,20.5,19.5,,19,3,3,,""
"",M2x,5,NOR,Empacher,X22,"Carbon wing",Bow,No,1,159,,C2,Skinny,Stiff,288.5,89.5,199,SM2P,46,21.5,No,14.3,36,,39,19.5,18.3,,16.3,4,4,,""
"",M2x,5,NOR,Empacher,X22,"Carbon wing",Bow,No,2,159,,C2,Skinny,Stiff,289,88.5,200.5,SM2P,46,21.5,No,17.3,34,,43,19,17.2,,18,4,4,,""
"",M2x,6,FRA,Filippi,,"Carbon wing",Bow,No,1,160,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,15,40,,42,17.5,16.5,,21.5,4,4,,""
"",M2x,6,FRA,Filippi,,"Carbon wing",Bow,No,2,160,,C2,Skinny,Med,290,88,202,SM2P,46,21.5,No,15,40,,41,18.8,17.8,,18,4,4,,""
"",M2x,7,GBR,Empacher,,"Carbon wing",Bow,No,1,158.5,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,No,12,36.5,,43,19.5,18.6,,20,4,4,,""
"",M2x,7,GBR,Empacher,,"Carbon wing",Bow,No,2,158.5,,C2,Skinny,Med,289,88,201,SM2P,46,21.5,No,12,36.5,,37*,19.4,18.4,,18,4,4,,""
"",M2x,8,SUI,Empacher,,"Carbon wing",Bow,No,1,,,C2,Skinny,Med,,,,,,,,,,,,,,,,,,,""
"",M2x,8,SUI,Empacher,,"Carbon wing",Bow,No,2,,,C2,Skinny,Med,,,,,,,,,,,,,,,,,,,""
"",M2x,9,USA,Empacher,,"Carbon wing",Bow,No,1,159,,C2,Skinny,Med,289,88,201,,,,,,,,,,,,,,,,""
